Building;IČO;Název;Adresa;
Filadelfie;29003911;ELEKTRONANETU s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;62582836;UniCredit Fleet Management, s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;64948242;UniCredit Bank Czech Republic and Slovakia, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;65732014;ZOOS pracovníků peněžnictví a pojištovnictví UniCredit Bank Czech Republic, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;75079071;ZOOS pracovníků peněžnictví a pojišťovnictví UniCredit Business Integrated Solutions;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;4172108;PASSERINVEST BBC 2, s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;5496446;PASSERINVEST FINANCE, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;6279414;Roztyly Investments a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;6532560;EXPRESS GRILL s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;6629580;PASSERINVEST BBC 3, s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;7071183;Rezidence Oliva, s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;7857071;BBC-OSM, z.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;8056323;Rezidence ARBORETUM, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;9419411;MHP Management- und IT-Beratung GmbH, odštěpný závod;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;14047420;Arboretum B2, s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;14048060;Arboretum B3, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;17070805;Arboretum B4, a.s.;Praha 4, Michle, Želetavská 1525/1;
Filadelfie;21370001;DAJONA Invest s.r.o.;Praha 4, Michle, Želetavská 1525/1;ZDE
Filadelfie;17417805;Gamma Building, s.r.o.;Praha 4, Michle, Želetavská 1525/1;
Villas II;26432293;Thales DIS Czech Republic s.r.o.;Praha 4, Michle, Želetavská 1448/7;
Villas II;28468287;Trafee s.r.o.;Praha 4, Michle, Želetavská 1448/7;
Villas I;16190793;Tchibo Praha, spol. s r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;24178845;Nakhodka Seafood s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;24666823;AETON Holdings s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;24810681;PPGO Asset Management Services s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;24812048;CEMEA Holdings a.s.;Praha 4, Michle, Želetavská 1449/9;
Villas I;24812340;Exeltis Czech s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;27141209;s.Oliver CZ, s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;28115163;SUNNY ENERGO ALFA s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;3606651;Digital Machine s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;4295307;D&FG Kladno s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;4295315;D&FG Šumava I s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;4746597;M.C.M. Klosterfrau Healthcare s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;7989229;EAFG Capital Ventures s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;10668390;D&FG Šumava III s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;14399091;D&FG Vyšehrad s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;17412285;D&FG Country II s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Villas I;17412692;D&FG Country s.r.o.;Praha 4, Michle, Želetavská 1449/9;
Brumlovka;;Hair - Line International, spol. s r.o.;Praha 4, Michle, Vyskočilova 1100/2;
Brumlovka;27394514;BB C - Maranatha, s.r.o.;Praha 4, Michle, Vyskočilova 1100/2;
Brumlovka;10985298;Lens Optik, s.r.o.;Praha 4, Michle, Vyskočilova 1100/2;
Brumlovka;"27445810	";Balance Club Brumlovka, a.s.;Praha 4, Michle, Vyskočilova 1100/2;
Gamma;6321399;Smart home security s.r.o. / O2 CRM Services s.r.o.;Za Brumlovkou 266/2, 140 00  Praha 4;
Beta ;4923693;GreyCorbel;Vyskočilova 1481/4 Praha 4;
RPB II;;Zuzana Slamková;Jemnická 326/1997;
Filadelfie;14030390;Be Rider Services s.r.o.;Želetavská 1525/1, Praha 4;
Filadelfie;7799586;HoppyGo Czechia;Želetavská 1525/1, Praha 4;
Filadelfie;6628664;HoppyGo ;Želetavská 1525/1, Praha 5;
Filadelfie;6048749;Mobility Lab s.r.o.;Želetavská 1525/1, Praha 6;
Filadelfie;6532560;EXPRESS GRILL s.r.o.;Želetavská 1525/1, Praha 6;
Filadelfie;5976359;DigiLab / Škoda X;Želetavská 1525/1, Praha 7;
Villas;14399091;Selave office;Praha 4, Michle, Želetavská 1449/9;
Delta II;19062583;MICROSOFT 29324 Czech Republic s.r.o.;Vyskočilova 1561/4a, Praha 4;
Delta II;10969811;ZO OS KOVO ABB Mošnov;Vyskočilova 1561/4a, Praha 4;
Delta II;1519506;Affirmed Networks Czech;Vyskočilova 1561/4a, Praha 4;
Delta II;24853003;Microsoft Mobile Sales International Oy,;Vyskočilova 1561/4a, Praha 4;
G;26774291;LIKVID REAL s.r.o.;Michelská 1552/58, Praha 4;
BETA;6881777;Cruise Club s.r.o.;Vyskočilova 1481/4 Praha 4;
G;26706245;Petrisk;Praha 4, Michle, Michelská 1552/58;
Alpha;25032739;H-Rekultivacre a.s.;Vyskočilova 1461/2, Praha 4;
Alpha;;Grid Desing;Vyskočilova 1461/2, Praha 4;
Alpha;;Bauset;Vyskočilova 1461/2, Praha 4;
G;26427753;TUV Austria Cezch spol. s.r.o;Michelská 1552/58 Praha 4;
B;44846011;Westinghouse Electric Czech Republic;Praha 4, Michle, Vyskočilova 1422/1a;
D;19603649;Henning Czech s.r.o.;Jemnická 1138/1, Praha 4;
D;24206491;Integrio s.r.o.;Jemnická 1138/1, Praha 4;
Delta;27581357;Parallaxis s.r.o.;Za Brumlovkou 1559/5;
Delta;27581357;Syncz a.s.;Za Brumlovkou 1559/5;
Filadelfie;60487071;Emerson Process Management s.r.o.;Želetavská 1525/1;
B;24258954;GE CAPITAL SHARED SERVICES EUROPE LIMITED;Praha 4, Michle, Vyskočilova 1422/1a;
B;26749122;BTI Sternhaus s.r.o. v likvidaci;Praha 4, Michle, Vyskočilova 1422/1a;
B;9506489;"	Coshile & Co., s.r.o.";Praha 4, Michle, Vyskočilova 1422/1a;
D;27115429;CHG-MERIDIAN Czech Republic s.r.o.;Jemnická 1138/1, Praha 4;
